"id","league_id","home_goals","away_goals","winner","home_gk","home_def","home_mid","home_atk","home_def_count","home_mid_count","home_atk_count","away_gk","away_def","away_mid","away_atk","away_def_count","away_mid_count","away_atk_count"
9711,7809,0,1,"away","very good","good","very good","good",4,5,1,"very good","very good","very good","very good",4,5,1
9712,7809,2,0,"home","very good","bad","good","good",4,5,1,"bad","good","good","bad",4,5,1
9713,7809,4,4,"draw","bad","good","good","good",4,3,3,"good","good","good","good",4,5,1
9714,7809,0,1,"away","good","bad","very good","good",4,4,2,"very good","bad","good","good",4,5,1
9715,7809,0,0,"draw","good","good","bad","good",4,5,1,"good","bad","good","very good",4,5,1
9716,7809,1,2,"away","bad","bad","bad","very bad",4,4,2,"very good","good","good","very good",3,5,2
9717,7809,0,0,"draw","very good","very good","good","very good",3,5,2,"good","bad","good","good",4,5,1
9718,7809,1,1,"draw","very good","good","very good","very good",4,5,1,"bad","good","good","good",4,4,2
9719,7809,2,1,"home","very good","very good","very good","good",4,5,1,"good","good","bad","good",4,5,1
9720,7809,1,2,"away","good","good","good","very good",4,5,1,"very good","very good","very good","very good",4,5,1
9721,7809,2,1,"home","bad","good","good","good",4,4,2,"very good","good","very good","good",4,4,2
9722,7809,0,5,"away","good","good","good","good",4,5,1,"very good","good","very good","bad",4,5,1
9723,7809,2,1,"home","bad","good","good","very bad",4,3,3,"bad","very good","very good","very good",4,5,1
9724,7809,2,2,"draw","good","bad","good","good",4,4,2,"very good","bad","good","good",4,5,1
9725,7809,0,0,"draw","very good","bad","good","good",4,4,2,"bad","bad","bad","very bad",4,5,1
9726,7809,1,0,"home","bad","very good","good","very good",3,5,2,"very good","good","good","good",4,5,1
9727,7809,0,0,"draw","very good","very good","very good","very good",4,4,2,"very good","very good","very good","very good",4,5,1
9728,7809,4,1,"home","very good","very good","very good","good",4,5,1,"very good","very good","very good","very good",4,5,1
9729,7809,5,0,"home","good","bad","good","very good",4,5,1,"bad","bad","bad","bad",4,4,2
9730,7809,3,1,"home","bad","good","good","good",4,5,1,"very good","good","very good","very good",4,3,3
9731,7809,2,0,"home","bad","bad","good","bad",4,3,3,"good","good","good","good",4,5,1
9732,7809,4,1,"home","good","good","good","good",4,4,2,"very good","good","good","very good",4,4,2
9733,7809,0,1,"away","very good","bad","good","good",4,4,2,"very good","very good","very good","good",4,4,2
9734,7809,0,2,"away","good","bad","good","very good",4,5,1,"good","good","good","good",4,5,1
9735,7809,1,1,"draw","very good","very good","very good","very good",4,5,1,"bad","very good","good","very good",3,5,2
9736,7809,0,1,"away","very good","very good","very good","very good",4,5,1,"bad","good","good","good",4,5,1
9737,7809,1,0,"home","very good","very good","very good","good",4,4,2,"good","bad","good","bad",4,4,2
9738,7809,1,2,"away","very good","good","very good","good",4,5,1,"bad","good","good","bad",4,3,3
9739,7809,1,1,"draw","very good","good","good","good",4,5,1,"good","bad","good","bad",4,5,1
9740,7809,0,1,"away","good","good","bad","good",4,5,1,"very good","good","very good","very good",4,5,1
9741,7809,1,1,"draw","very good","bad","good","good",4,3,3,"very good","very good","very good","good",4,5,1
9742,7809,0,0,"draw","good","good","good","good",4,5,1,"very good","bad","good","good",4,5,1
9743,7809,0,3,"away","bad","bad","bad","bad",4,4,2,"good","bad","good","very good",4,5,1
9753,7809,1,0,"home","very bad","very good","good","very good",3,5,2,"very good","very good","very good","very good",4,4,2
9754,7809,3,0,"home","very good","very good","very good","good",4,5,1,"very good","good","good","very good",4,5,1
9755,7809,0,2,"away","good","bad","good","very good",4,5,1,"good","good","good","good",4,5,1
9756,7809,2,2,"draw","bad","good","good","bad",4,5,1,"very good","very good","good","very good",4,4,2
9757,7809,2,1,"home","bad","bad","good","bad",4,3,3,"very good","very good","very good","very good",4,5,1
9758,7809,0,3,"away","good","bad","good","bad",4,4,2,"very good","very good","very good","very good",4,5,1
9759,7809,0,2,"away","very good","bad","good","good",4,4,2,"very good","very good","very good","very good",3,4,3
9760,7809,2,1,"home","good","bad","good","very good",4,5,1,"very good","good","good","good",4,5,1
9761,7809,0,0,"draw","good","good","bad","good",4,5,1,"bad","bad","bad","bad",4,5,1
9762,7809,8,0,"home","very good","very good","very good","very good",4,5,1,"good","bad","good","good",4,4,2
9763,7809,4,2,"home","very good","very good","very good","very good",4,5,1,"bad","good","good","good",4,3,3
9764,7809,4,5,"away","very good","very good","very good","very good",4,5,1,"very good","very good","very good","good",4,5,1
9765,7809,1,0,"home","very good","very good","very good","very good",4,4,2,"good","good","good","bad",4,4,2
9766,7809,2,1,"home","very good","good","good","bad",4,5,1,"very good","bad","good","bad",4,5,1
9767,7809,1,2,"away","very good","good","good","good",4,5,1,"bad","bad","bad","bad",4,5,1
9768,7809,0,2,"away","good","good","good","good",4,5,1,"good","good","good","very bad",4,4,2
9769,7809,3,2,"home","bad","good","good","bad",4,3,3,"bad","good","good","bad",4,5,1
9770,7809,1,0,"home","very good","good","good","very good",4,4,2,"very bad","very good","good","very good",3,5,2
9771,7809,1,1,"draw","very bad","very good","good","bad",3,5,2,"bad","good","good","bad",4,3,3
9772,7809,2,1,"home","very good","very good","very good","good",4,5,1,"good","good","good","very good",4,5,1
9773,7809,3,1,"home","good","good","good","very good",4,5,1,"very good","good","good","very good",4,4,2
9774,7809,2,2,"draw","good","good","good","bad",4,5,1,"very good","very good","very good","very good",4,5,1
9775,7809,1,1,"draw","very good","good","good","very bad",4,4,2,"very good","good","very good","very good",4,5,1
9776,7809,2,3,"away","very good","bad","bad","good",4,4,2,"very good","very good","very good","very good",4,5,1
9777,7809,1,1,"draw","good","good","bad","very good",4,5,1,"very good","very good","very good","very good",4,5,1
9778,7809,1,1,"draw","good","good","good","bad",4,4,2,"very good","good","good","good",4,5,1
9779,7809,0,6,"away","bad","bad","bad","bad",5,4,1,"very good","very good","very good","very good",4,5,1
9780,7809,4,1,"home","very good","very good","very good","very good",4,5,1,"good","good","good","bad",4,3,3
9781,7809,3,0,"home","very good","very good","very good","very good",4,5,1,"very bad","very good","good","very good",3,4,3
9782,7809,1,0,"home","very good","very good","very good","very good",4,5,1,"very good","bad","good","bad",4,4,2
9783,7809,2,0,"home","very good","very good","very good","good",4,4,2,"bad","bad","bad","bad",4,4,2
9784,7809,2,0,"home","very good","good","very good","good",4,5,1,"good","good","good","very good",4,5,1
9785,7809,1,1,"draw","very good","good","good","good",4,5,1,"good","good","good","good",4,5,1
9786,7809,1,0,"home","good","good","good","very good",4,5,1,"good","good","good","good",4,5,1
9787,7809,3,5,"away","bad","bad","good","bad",4,4,2,"very good","very good","very good","very good",4,5,1
9788,7809,2,1,"home","very good","good","good","very good",4,5,1,"good","good","bad","good",4,5,1
9789,7809,3,1,"home","very bad","very good","good","very good",3,5,2,"very good","good","very good","very good",4,5,1
9790,7809,2,2,"draw","good","good","good","very good",4,5,1,"very good","very good","very good","very good",4,4,2
9791,7809,1,0,"home","good","good","good","bad",4,5,1,"very good","very good","very good","very good",4,5,1
9792,7809,1,3,"away","very good","good","good","bad",4,5,1,"very good","very good","very good","very good",3,4,3
9793,7809,0,1,"away","very good","bad","good","bad",4,4,2,"bad","good","good","bad",4,3,3
9794,7809,0,0,"draw","good","good","good","good",4,5,1,"good","good","good","very good",4,5,1
9795,7809,0,0,"draw","good","good","good","very good",4,5,1,"very good","very good","very good","very good",4,5,1
9796,7809,4,2,"home","good","good","good","bad",4,4,2,"very good","good","good","very good",4,4,2
9797,7809,0,3,"away","bad","bad","bad","very bad",4,5,1,"very good","very good","very good","very good",4,4,2
9798,7809,0,0,"draw","very good","very good","very good","very good",4,5,1,"good","good","good","bad",4,4,2
9799,7809,4,0,"home","very good","good","very good","very good",4,5,1,"good","good","good","good",4,5,1
9800,7809,3,0,"home","very good","very good","very good","very good",4,5,1,"very good","good","good","good",4,4,2
9801,7809,2,0,"home","very good","very good","very good","very good",4,4,2,"very good","good","good","good",4,5,1
9802,7809,0,2,"away","good","good","good","bad",4,5,1,"good","good","good","very good",4,5,1
9803,7809,3,0,"home","very good","good","very good","bad",4,5,1,"good","good","good","very good",4,5,1
9804,7809,2,2,"draw","good","good","good","very good",4,5,1,"very bad","very good","good","good",3,5,2
9805,7809,0,4,"away","bad","good","good","good",4,5,1,"very good","very good","very good","very good",3,4,3
9806,7809,4,0,"home","very good","good","good","good",4,3,3,"bad","bad","bad","very bad",4,4,2
9807,7809,0,2,"away","very good","very good","very good","very good",4,5,1,"very good","very good","very good","very good",4,4,2
9808,7809,0,1,"away","very bad","good","good","good",3,5,2,"very good","good","very good","very good",4,4,2
9809,7809,1,1,"draw","good","good","good","very good",4,5,1,"very good","very good","very good","good",4,5,1
9810,7809,2,3,"away","very good","good","good","good",4,5,1,"very good","very good","very good","very good",4,5,1
9811,7809,2,0,"home","very good","good","bad","good",4,4,2,"good","good","good","bad",4,5,1
9812,7809,3,1,"home","good","bad","good","good",4,5,1,"very good","good","good","very good",4,4,2
9813,7809,0,1,"away","very good","good","good","very good",4,5,1,"good","good","good","very good",4,5,1
9814,7809,1,1,"draw","good","good","good","bad",4,4,2,"bad","bad","good","good",4,3,3
